,delta_cost,delta_reward
0,0.0,0.0
1,5.0983309918079775e-05,4.419227809412839e-06
2,0.00010163374207659376,2.8763847031755017e-05
3,0.00015214017608788878,3.760061774715823e-05
4,0.0002019672629597595,4.521403954392625e-05
5,0.0002525114783020489,6.3812384239625e-05
6,0.0003027281580797004,6.406382057318174e-05
7,0.00035303965302401353,9.022237792319621e-05
8,0.00040347944793357423,0.00010323978643002064
9,0.0004537638484567121,0.00011033577084681271
10,0.000503972994255409,0.00012151603774414359
11,0.000554413664069569,0.00013182250936829185
12,0.0006048546183087634,0.00014049906713470845
13,0.0006549320347624991,0.00014757730616687026
14,0.0007052580948400645,0.00015307328666378179
15,0.0007557427247769577,0.00016381891104399131
16,0.0008062143149759564,0.00017377141575432666
17,0.0008563294701210933,0.00017642437573209973
18,0.0009067377420596066,0.00017696542978171942
19,0.0009570368842025411,0.00018826016841946085
20,0.0010073210796985794,0.0001928773880930302
21,0.0010579532117934937,0.0002048514818234871
22,0.0011082157884295504,0.00021535596262467499
23,0.0011585508466141919,0.0002211673991530321
24,0.0012083295369119027,0.00022271764070583893
25,0.0012589610221756594,0.00023072553268008885
26,0.001308960720364489,0.00023058013469475118
27,0.0013595895086943122,0.00023541787716996766
28,0.0014098403994330041,0.00024697322077119906
29,0.0014600503001265933,0.00024218530465201305
30,0.0015103687909601043,0.0002457668365108788
31,0.001561022420488043,0.00025347001927839707
32,0.0016113194875711292,0.0002539872562305376
33,0.0016612633122344079,0.00026306903292665023
34,0.0017116339483328141,0.00026708303564411607
35,0.0017620255694818364,0.00027364657319570575
36,0.0018124091436632925,0.0002775067986566728
37,0.001862927147310841,0.00028524193803975957
38,0.0019130124037851097,0.00028869606351629424
39,0.001963535255713817,0.0002918025006994568
40,0.002013893900456844,0.0002918453510887091
41,0.002064214125471486,0.000299343389799895
42,0.00211450508090979,0.00030484386556754674
43,0.002164766510734911,0.0003128300996777971
44,0.002215135920148412,0.00032204513308410127
45,0.0022652985432192025,0.00032637277218878526
46,0.0023157130923862003,0.0003302744368086075
47,0.002366256202655359,0.00032932819309827905
48,0.0024160521853744564,0.00033690382174609266
49,0.002466976259787601,0.00033819960982563527
50,0.002517148315530894,0.0003409634311927704
