,delta_cost,delta_reward
0,0.0,0.0
1,5.1214693681708586e-05,1.9760978434758772e-05
2,0.00010151995875497241,3.2816491067055325e-05
3,0.00015172080090622637,4.258498890597275e-05
4,0.00020223890379333112,6.152820685268914e-05
5,0.0002524034248444849,7.869296494547386e-05
6,0.0003029847392755282,9.702846682526451e-05
7,0.00035321458602233675,0.00010418455384431646
8,0.0004034179471063555,0.00010759132837452143
9,0.000453820398717042,0.00011999953649114598
10,0.0005040871705673036,0.00013383185419164347
11,0.0005546601583828873,0.0001435773391056562
12,0.0006046738250277678,0.00015509728469857467
13,0.0006550915318621753,0.00017000796810276764
14,0.0007055251989781308,0.00019226329521429138
15,0.0007559095670867041,0.00020895089087721673
16,0.0008060188085615112,0.00022646926574901557
17,0.0008560855312359088,0.00024369756882434426
18,0.000906853668141391,0.00024856759561678993
19,0.0009568552527563088,0.0002624099315054138
20,0.0010074364113470489,0.0002767850978198505
21,0.0010574607231922958,0.0002870884585190645
22,0.001107840064143641,0.000292202952156182
23,0.0011584594186803286,0.00030400609815887003
24,0.001208492436631783,0.000312215288724419
25,0.0012587115007530747,0.0003112228810184323
26,0.0013093871262734712,0.00031841765457475853
27,0.0013595531451263446,0.00032754343484863173
28,0.0014100804293773598,0.0003350227944799494
29,0.001460345020459919,0.00034032552515477746
30,0.0015107115627016282,0.00034423174905252895
31,0.0015610472995919806,0.00035283811941138417
32,0.001611476384661286,0.0003591759697954831
33,0.0016615234489786807,0.0003629659177333879
34,0.0017119289709110269,0.0003687581145494258
35,0.0017619816823952429,0.0003739035558106221
36,0.001812628954257192,0.000380710892355185
37,0.001862860869758096,0.00038781486085601814
38,0.0019135600655526342,0.00039171977111148067
39,0.001963633856056225,0.0004023901551183108
40,0.0020138699090894037,0.00040952216696625907
41,0.002063861176196927,0.0004142374198557852
42,0.0021145439378531337,0.00041948157690745115
43,0.0021646788081216284,0.0004248829196573586
44,0.002215262728982695,0.00043221555636321733
45,0.0022653929496900403,0.00043782775702710415
46,0.0023156311056490523,0.00044314833928570026
47,0.0023658964337328584,0.00044878300877162895
48,0.0024159939745376532,0.00045520001297732235
49,0.002466577957902259,0.00045116523880674256
50,0.0025170250898445003,0.0004557671969541546
51,0.0025676087213203557,0.00046079084784478357
52,0.0026176139687438212,0.0004614814166750678
53,0.0026683735980218477,0.0004675005588975897
54,0.002718329550866267,0.0004728182061018713
55,0.0027684797498845615,0.00047678312883784024
56,0.0028192474780165287,0.00048425975936699833
57,0.002869014519267644,0.0004898346937893069
58,0.0029195483458212238,0.0004943897109057952
59,0.0029698746697294203,0.0004967993414053628
60,0.003020146554542043,0.0005023970702899198
61,0.0030706797904101243,0.0005046213190010372
62,0.0031208465596103824,0.000508442847692129
63,0.003171136688238167,0.0005164403457693574
64,0.0032218513659995358,0.0005218300274957223
65,0.0032717228088891214,0.0005276709867282997
66,0.0033222900887076743,0.0005319521227398214
67,0.003372739127927532,0.000538034146002057
68,0.0034229994607598317,0.0005403865187740094
69,0.003473453183336562,0.0005435572935965561
70,0.0035237233400104515,0.0005406848425972276
71,0.0035741041648223097,0.0005458937447631571
72,0.0036241238942574363,0.0005481195073161151
73,0.0036742733540561607,0.0005512018175015374
74,0.003724802781018048,0.0005502513626153778
75,0.0037752767827537084,0.0005573705908439524
76,0.003825582010519457,0.0005612633385170293
77,0.003875948684761128,0.000567698007217205
78,0.003926060643049023,0.0005758646179710689
79,0.003976308335683906,0.0005809049583792424
80,0.004026721781964211,0.0005859668957642369
81,0.004077178892287015,0.0005886500634818959
82,0.004127330424323479,0.0005889134892522597
83,0.0041779301237648,0.0005941769981439735
84,0.004228043180730791,0.0005994949869416017
85,0.0042785455345650866,0.0006012357357885107
86,0.004328651249680795,0.000601989450068346
87,0.004378887521741614,0.0006056982904882313
88,0.004429555509230441,0.0006099855738732517
89,0.004479453090737593,0.0006119214901119777
90,0.004529915035965872,0.0006147143828484047
91,0.004580257306179727,0.0006164442567682305
92,0.004630583991638037,0.0006163784315900387
93,0.004680875104002644,0.0006179227975003274
94,0.004731119111052193,0.0006189171304097044
95,0.0047814890135367254,0.0006221623531448198
96,0.004831756628440092,0.000620617044416268
97,0.004882051629248338,0.0006231095791706811
98,0.004932652980644154,0.0006270270834424079
99,0.004982927743923219,0.0006318276153305555
100,0.005033521291556357,0.0006359573659681983
101,0.005083448221309938,0.0006396747052683345
102,0.005133750018809283,0.0006413180262464135
103,0.005184099377420501,0.0006440685921582498
104,0.005234391650465946,0.0006445662706022567
105,0.005284903167096264,0.000646292910953524
106,0.005334955651746953,0.0006492939698631365
107,0.005385452552143438,0.0006546792138521555
108,0.005435808776444179,0.0006575869798382731
109,0.005485992580458427,0.0006646751568967023
110,0.005536517641842103,0.0006629506756619088
111,0.00558680080271082,0.0006629638554759568
112,0.00563695777207952,0.000664932535305516
113,0.0056874471153038056,0.0006697997270833585
114,0.005737925211140421,0.0006718041705023894
115,0.005787940844327316,0.0006747041616933874
116,0.005838377819995966,0.0006792653138605608
117,0.005888761112320004,0.0006835166493037102
118,0.005939054370068755,0.0006840361407021898
119,0.005989382530450857,0.0006879293491971218
120,0.006039720305972666,0.0006938549848030441
121,0.006090333611910832,0.0006995533352385061
122,0.006140370609610444,0.0007029540907216317
123,0.006190959757638567,0.0007055105074317782
124,0.006241288577563752,0.0007121158322904747
125,0.006291281216783331,0.000716865210038941
126,0.0063415807203889805,0.0007188032717113155
127,0.006391947382548169,0.0007211505560083803
128,0.00644226072531757,0.0007238066763229752
129,0.006492683013162261,0.0007277458284732474
